0,0,1624776167893,0,0,0,0,1,10,0
1,0,1624776170893,0,0,0,0,1,10,0
2,2,1624776173894,100,0,0,0,1,10,4
3,3,1624776176893,100,1,1,1,1,10,7
4,4,1624776179894,75,1,1,1,1,10,10
5,5,1624776182896,80,0.5,1,0.6666666666666666,1,10,13
6,6,1624776185898,66.66666666666667,0.6666666666666666,1,0.75,1,10,16
7,7,1624776188898,71.42857142857143,0.5,1,0.5833333333333334,1,10,21
8,8,1624776191898,75,0.5,1,0.6,1,10,26
9,9,1624776194899,88.88888888888889,0.75,1,0.8235294117647058,1,10,31
10,10,1624776197901,80,0.8571428571428571,1,0.9,1,10,36
11,11,1624776200901,72.72727272727273,0.8125,1,0.8636363636363636,1,10,39
12,12,1624776203902,75,0.8125,1,0.875,1,10,44
13,13,1624776206903,76.92307692307692,0.7222222222222222,1,0.8148148148148148,1,10,49
14,14,1624776209905,71.42857142857143,0.75,1,0.8333333333333334,1,10,54
15,15,1624776212907,80,0.625,1,0.7352941176470589,1,10,59
16,16,1624776215905,81.25,0.7307692307692307,1,0.8055555555555556,1,10,62
17,17,1624776218907,82.3529411764706,0.75,1,0.8205128205128205,1,10,67
18,18,1624776221908,72.22222222222223,0.75,1,0.813953488372093,1,10,72
19,19,1624776224910,84.21052631578948,0.6875,1,0.7777777777777778,1,10,77
20,20,1624776227912,80,0.7647058823529411,1,0.8333333333333334,1,10,82
21,21,1624776230910,80.95238095238095,0.75,1,0.82,1,10,85
22,22,1624776233911,86.36363636363636,0.8333333333333334,1,0.8846153846153846,1,10,90
23,23,1624776236917,86.95652173913044,0.8421052631578947,1,0.8909090909090909,1,10,95
24,24,1624776239911,83.33333333333333,0.875,1,0.9137931034482759,1,10,100
25,25,1624776242913,84,0.7954545454545454,1,0.8548387096774194,1,10,105
26,25,1624776245915,84,0.8409090909090909,1,0.8870967741935484,1.4142135623730951,10,105
27,25,1624776248916,80,0.8409090909090909,1,0.8870967741935484,1.4142135623730951,10,105
28,25,1624776251920,80,0.8076923076923077,1,0.8636363636363636,1.4142135623730951,10,169
29,25,1624776254920,80,0.8076923076923077,1,0.8636363636363636,1.4142135623730951,10,169
30,25,1624776257922,84,0.8076923076923077,1,0.8636363636363636,1.4142135623730951,10,169
31,25,1624776260925,88,0.8589743589743589,1,0.9,1.4142135623730951,10,169
32,25,1624776263924,88,0.9102564102564102,1,0.9363636363636364,1.4142135623730951,10,169
33,25,1624776266926,84,0.9102564102564102,1,0.9363636363636364,1.4142135623730951,10,169
34,25,1624776269928,84,0.8717948717948718,1,0.9090909090909091,1.4142135623730951,10,169
35,25,1624776272934,84,0.8717948717948718,1,0.9090909090909091,1.4142135623730951,10,169
36,25,1624776275932,84,0.8717948717948718,1,0.9090909090909091,1.4142135623730951,10,169
37,25,1624776278933,84,0.8717948717948718,1,0.9090909090909091,1.4142135623730951,10,169
38,25,1624776281935,84,0.8717948717948718,1,0.9090909090909091,1.4142135623730951,10,169
39,25,1624776284934,84,0.8717948717948718,1,0.9090909090909091,1.4142135623730951,10,169
40,25,1624776287935,84,0.8717948717948718,1,0.9090909090909091,1.4142135623730951,10,169
41,25,1624776290937,84,0.8717948717948718,1,0.9090909090909091,1.4142135623730951,10,169
42,25,1624776293937,84,0.8717948717948718,1,0.9090909090909091,1.4142135623730951,10,169
43,25,1624776296938,84,0.8717948717948718,1,0.9090909090909091,1.4142135623730951,10,169
44,25,1624776299941,84,0.8717948717948718,1,0.9090909090909091,1.4142135623730951,10,169
45,25,1624776302942,84,0.8717948717948718,1,0.9090909090909091,1.4142135623730951,10,169
46,25,1624776305942,84,0.8717948717948718,1,0.9090909090909091,1.4142135623730951,10,169
47,25,1624776308943,84,0.8717948717948718,1,0.9090909090909091,1.4142135623730951,10,169
48,25,1624776311944,84,0.8717948717948718,1,0.9090909090909091,1.4142135623730951,10,169
49,25,1624776314945,84,0.8717948717948718,1,0.9090909090909091,1.4142135623730951,10,169
50,25,1624776317945,80,0.8717948717948718,1,0.9090909090909091,1.4142135623730951,10,169
51,25,1624776320947,80,0.8461538461538461,1,0.8909090909090909,2,10,169
52,25,1624776323948,80,0.8461538461538461,1,0.8909090909090909,2,10,169
53,25,1624776326950,80,0.8220338983050848,1,0.8670886075949367,2,10,229
54,25,1624776329951,80,0.8220338983050848,1,0.8670886075949367,2,10,229
55,25,1624776332952,80,0.8220338983050848,1,0.8670886075949367,2,10,229
56,25,1624776335960,80,0.8220338983050848,1,0.8670886075949367,2,10,229
57,25,1624776338964,84,0.8220338983050848,1,0.8670886075949367,2,10,229
58,25,1624776341965,84,0.8728813559322034,1,0.9050632911392406,2,10,229
59,25,1624776344972,84,0.8728813559322034,1,0.9050632911392406,2,10,229
60,25,1624776347969,84,0.8728813559322034,1,0.9050632911392406,2,10,229
61,25,1624776350968,84,0.8728813559322034,1,0.9050632911392406,2,10,229
62,25,1624776353968,84,0.8728813559322034,1,0.9050632911392406,2,10,229
63,25,1624776356972,84,0.8728813559322034,1,0.9050632911392406,2,10,229
64,25,1624776359972,84,0.8728813559322034,1,0.9050632911392406,2,10,229
65,25,1624776362974,84,0.8728813559322034,1,0.9050632911392406,2,10,229
66,25,1624776365976,84,0.8728813559322034,1,0.9050632911392406,2,10,229
67,25,1624776368976,84,0.8728813559322034,1,0.9050632911392406,2,10,229
68,25,1624776371976,84,0.8728813559322034,1,0.9050632911392406,2,10,229
69,25,1624776374978,84,0.8728813559322034,1,0.9050632911392406,2,10,229
70,25,1624776377981,84,0.8728813559322034,1,0.9050632911392406,2,10,229
